Process1,9384,886,0
Process2,6916,7793,1
Process3,5387,492,0
Process4,1422,2362,1
Process5,8691,59,2
Process6,3927,540,0
Process7,9173,5736,2
Process8,5369,2567,0
Process9,5783,1530,2
Process10,5124,4067,1
Process11,3930,9802,0
Process12,3059,3069,0
Process13,1394,8456,1
Process14,8043,6229,0
Process15,4422,4919,2
Process16,8538,5198,2
Process17,8316,4370,2
Process18,3527,6091,2
Process19,9957,1873,2
Process20,9171,6996,1
Process21,2306,925,2
Process22,6328,336,2
Process23,847,1729,1
Process24,5858,6124,0
Process25,9583,545,2
Process26,3368,5434,2
Process27,4044,3750,1
Process28,6809,7276,2
Process29,5789,3584,0
Process30,2652,2754,1
Process31,9933,5060,2
Process32,3369,7739,1
Process33,6227,8586,0
Process34,7540,795,1
Process35,1435,378,2
Process36,6602,97,2
Process37,3318,492,1
Process38,757,7301,2
Process39,4287,9441,0
Process40,9690,8444,2
Process41,8441,4729,0
Process42,8118,8097,2
Process43,4482,675,0
Process44,8928,4567,1
Process45,9498,2353,0
Process46,6966,5306,2
Process47,6220,8624,1
Process48,2872,5732,2
Process49,9504,19,0
Process50,3369,9708,2
Process51,6341,8149,0
Process52,724,2618,1
Process53,2847,3451,1
Process54,3556,2379,1
Process55,7765,8228,1
Process56,2351,5193,1
Process57,7035,7764,0
Process58,4915,6987,2
Process59,3744,6491,2
Process60,8366,9859,1
Process61,1433,2551,2
Process62,9229,3275,2
Process63,1475,6121,2
Process64,4396,6029,1
Process65,8236,3793,2
Process66,4429,6143,0
Process67,5929,9529,2
Process68,2405,4443,1
Process69,4614,4538,2
Process70,6841,2904,1
Process71,5129,688,0
Process72,7918,9917,0
Process73,3325,7743,0
Process74,2184,8490,2
Process75,9773,6725,1
Process76,5591,7505,2
Process77,2955,9786,0
Process78,8083,8542,2
Process79,198,9507,0
Process80,8805,6348,2
Process81,3623,7828,2
Process82,7344,5746,2
Process83,4341,5422,2
Process84,3811,7605,1
Process85,5662,3730,1
Process86,1306,9320,2
Process87,9445,8626,0
Process88,3466,6708,1
Process89,8283,3258,2
Process90,7638,2062,2
Process91,2601,2036,2
Process92,1900,9379,1
Process93,7469,71,0
Process94,7132,3881,1
Process95,8934,5894,1
Process96,164,7199,2
Process97,8900,2996,0
Process98,3774,2813,0
Process99,7191,1095,2
Process100,6467,5084,0
Process101,2091,7684,0
Process102,5543,5936,1
Process103,7446,9756,1
Process104,8419,6887,2
Process105,3349,2172,0
Process106,2010,2336,2
Process107,6343,7587,0
Process108,9302,7713,0
Process109,5322,1255,2
Process110,4600,7721,2
Process111,5940,9811,2
Process112,5668,1705,0
Process113,1128,9150,0
Process114,6659,3920,1
Process115,2423,7269,2
Process116,4082,5630,2
Process117,9293,1972,2
Process118,3851,7625,0
Process119,1223,9299,1
Process120,6043,3898,2
Process121,2299,6190,0
Process122,2591,8209,0
Process123,8820,9336,0
Process124,1156,5994,1
Process125,380,4769,0
Process126,1777,8850,1
Process127,1861,8142,2
Process128,5885,1993,1
Process129,7622,9567,2
Process130,614,1961,2
Process131,1327,4259,1
Process132,8203,3202,2
Process133,6785,2021,0
Process134,869,9528,1
Process135,8873,9908,0
Process136,499,8036,0
Process137,7754,6248,0
Process138,3334,2133,2
Process139,2891,9754,1
Process140,1747,368,0
Process141,4501,8046,0
Process142,9798,6249,1
Process143,3304,3033,0
Process144,2498,253,1
Process145,7687,9125,2
Process146,3997,5975,2
Process147,9158,3729,1
Process148,2461,3414,0
Process149,461,6304,2
Process150,8028,8050,2
Process151,7557,8902,2
Process152,7698,8699,1
Process153,1040,2002,0
Process154,6404,4500,2
Process155,7648,8538,1
Process156,5152,2535,2
Process157,4340,1692,0
Process158,6128,504,2
Process159,50,964,2
Process160,6430,5343,1
Process161,3178,2900,1
Process162,7972,6949,0
Process163,5368,7988,0
Process164,5796,743,0
Process165,2830,8390,0
Process166,5341,3541,0
Process167,3827,4232,2
Process168,6043,360,0
Process169,8024,6761,0
Process170,6310,3190,0
Process171,8997,6367,2
Process172,4235,690,1
Process173,4525,6057,2
Process174,3169,8205,2
Process175,6313,7386,1
Process176,4347,2726,0
Process177,4917,6552,0
Process178,3530,8946,1
Process179,2648,6970,0
Process180,9081,9631,1
Process181,858,8627,2
Process182,1887,9214,1
Process183,3513,90,0
Process184,9480,9610,1
Process185,6190,2274,2
Process186,7642,6620,0
Process187,8988,7888,1
Process188,4567,7770,1
Process189,6857,417,0
Process190,2261,5849,2
Process191,7206,3059,2
Process192,8519,4945,0
Process193,6874,8458,2
Process194,7638,4289,1
Process195,6608,478,0
Process196,9315,4471,0
Process197,1101,3459,2
Process198,9439,8025,0
Process199,3075,1233,1
Process200,3682,3493,0
Process201,271,699,1
Process202,1840,5569,1
Process203,2623,8794,1
Process204,9848,6431,1
Process205,6683,9390,2
Process206,5792,5057,0
Process207,1522,6157,1
Process208,1492,1947,1
Process209,9232,5021,2
Process210,3741,5054,2
Process211,4099,5325,1
Process212,7517,3516,1
Process213,2232,6139,2
Process214,5405,2338,1
Process215,9219,9021,0
Process216,9863,4812,0
Process217,4978,2685,2
Process218,9905,4176,0
Process219,9208,9759,0
Process220,9745,3499,0
Process221,128,3950,2
Process222,7561,7818,2
Process223,564,49,2
Process224,8712,1805,2
Process225,3292,7375,2
Process226,3615,3589,1
Process227,8994,4918,0
Process228,6883,4822,1
Process229,6718,4030,0
Process230,1575,126,1
Process231,1487,253,2
Process232,3075,7814,0
